type,path,method,guest,user,super_user,admin,super_admin
admin_public_to_guest,/api/v2/admin/auth-mode,GET,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/auth-mode/reattempt,POST,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/auth-status,GET,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/credentials/active,GET,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/credentials/save,POST,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/dhan/disconnect,POST,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/dhan/subscriptions,GET,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/force-exit,POST,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/logo,GET,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/market-config,GET,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/market-config,POST,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/mode,GET,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/notifications,GET,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/rate-limits,GET,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/scrip-master/status,GET,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/subscriptions,GET,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/token/status,GET,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/upload-nse-files,POST,200,200,200,200,200
admin_public_to_guest,/api/v2/admin/ws/status,GET,200,200,200,200,200
